,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
135,Josh Hart,NOP,SF,0.32673267326732675,0.5963107484923731,0.23049487293802942,0.4444444444444447,0.7564102564102564,0.30796777081468213,0.16946564885496182,0.24505327245053277,0.34782608695652173,0.28,0.42,0.52,0.12,0.13,0.15,0.15,0.16,0.42,0.32,0.13,0.48,0.17,0.19,0.31,0.25
136,Gordon Hayward,BOS,SF,0.6006600660066007,0.8499467896417168,0.562639322336157,0.5185185185185185,0.4358974358974359,0.2694717994628469,0.5312977099236641,0.5235920852359209,0.55765595463138,0.58,0.36,0.43,0.49,0.52,0.43,0.44,0.14,0.34,0.26,0.34,0.38,0.08,0.4,0.12,0.55
137,John Henson,DET,PF,0.49174917491749176,0.4001418942887549,0.47391885867142214,0.48148148148148134,0.08974358974358974,0.5344673231871083,0.2702290076335877,0.2732115677321157,0.28544423440453687,0.28,0.04,0.04,0.52,0.5,0.19,0.27,0.53,0.49,0.51,0.15,0.29,0.69,0.3,0.59,0.28
138,Juan Hernangomez,MIN,PF,0.35973597359735976,0.27208229868747774,0.23049487293802942,0.4074074074074076,0.717948717948718,0.38495971351835273,0.15916030534351144,0.23059360730593612,0.16068052930056712,0.24,0.36,0.44,0.14,0.15,0.19,0.21,0.31,0.42,0.38,0.09,0.29,0.11,0.14,0.25,0.24
139,Willy Hernangomez,CHO,C,0.37293729372937295,0.20929407591344448,0.6179224253232278,0.5185185185185185,0.11538461538461538,0.7649955237242614,0.4469465648854962,0.25875190258751907,0.19092627599243855,0.45,0.04,0.09,0.68,0.65,0.36,0.44,0.88,0.71,0.79,0.19,0.33,0.28,0.53,0.51,0.45
140,Mario Hezonja,POR,PF,0.7722772277227723,0.3557999290528556,0.19081587160053506,0.2592592592592593,0.5256410256410255,0.26499552372426144,0.32786259541984736,0.13242009132420093,0.22684310018903595,0.41,0.32,0.43,0.3,0.34,0.17,0.17,0.12,0.37,0.27,0.19,0.52,0.11,0.37,0.37,0.29
141,Buddy Hield,SAC,SG,0.7260726072607261,0.6807378503015253,0.4146232724030317,0.4444444444444447,0.641025641025641,0.22829006266786034,0.5606870229007634,0.29071537290715377,0.27032136105860116,0.74,0.72,0.76,0.36,0.44,0.16,0.13,0.16,0.28,0.23,0.23,0.33,0.11,0.4,0.24,0.59
142,George Hill,MIL,PG,0.7029702970297029,0.6697410429230223,0.3901025412394115,0.5555555555555555,0.5384615384615384,0.14189794091316027,0.27786259541984737,0.3554033485540335,0.3383742911153119,0.34,0.36,0.4,0.27,0.29,0.22,0.23,0.14,0.17,0.14,0.35,0.43,0.08,0.26,0.22,0.34
143,Solomon Hill,MIA,SF,0.5214521452145214,0.4522880454061724,0.13865358894337937,0.2962962962962964,0.6794871794871795,0.23321396598030436,0.0984732824427481,0.19101978691019791,0.25897920604914937,0.16,0.3,0.37,0.07,0.11,0.12,0.11,0.16,0.26,0.23,0.19,0.43,0.14,0.21,0.29,0.12
144,Aaron Holiday,IND,PG,0.066006600660066,0.39127350124157506,0.2585822559072671,0.2962962962962964,0.5512820512820512,0.10966875559534466,0.39770992366412206,0.18036529680365299,0.26654064272211725,0.48,0.4,0.48,0.27,0.37,0.17,0.16,0.04,0.16,0.1,0.44,0.48,0.11,0.35,0.31,0.34
145,Jrue Holiday,NOP,SG,0.8085808580858086,0.892160340546293,0.5470352206865805,0.4074074074074076,0.3974358974358974,0.16338406445837064,0.5851145038167939,0.36681887366818877,0.4234404536862004,0.69,0.34,0.43,0.6,0.63,0.26,0.28,0.14,0.2,0.17,0.67,0.62,0.19,0.58,0.22,0.54
146,Justin Holiday,IND,SG,0.8778877887788779,0.5920539198297269,0.2224699063753901,0.3333333333333335,0.7307692307692307,0.1718889883616831,0.24465648854961833,0.20243531202435314,0.29678638941398866,0.35,0.46,0.56,0.12,0.18,0.12,0.13,0.08,0.24,0.17,0.14,0.62,0.19,0.21,0.2,0.27
147,Rondae Hollis-Jefferson,TOR,SF,0.6534653465346535,0.5019510464703795,0.38341506910387874,0.2962962962962964,0.11538461538461538,0.45792300805729635,0.36679389312977095,0.22298325722983262,0.37051039697542537,0.41,0.04,0.1,0.5,0.58,0.4,0.45,0.43,0.5,0.47,0.24,0.52,0.22,0.37,0.37,0.35
148,Richaun Holmes,SAC,C,0.5742574257425742,0.3650230578219226,0.5648684797146679,0.6666666666666667,0.12820512820512822,0.5062667860340198,0.29694656488549626,0.33485540334855407,0.2438563327032136,0.36,0.04,0.1,0.65,0.54,0.27,0.3,0.61,0.47,0.52,0.1,0.38,0.53,0.23,0.67,0.4
