,Name,Height (ft),Height (cm)
107,Trey Burke,6.0,182.88
108,Jalen Brunson,6.1,185.42
109,Maxi Kleber,6.10,208.28
110,Dwight Powell,6.10,208.28
111,Seth Curry,6.2,187.96
112,Josh Reaves,6.4,193.04
113,Tim Hardaway Jr.,6.5,195.58
114,Delon Wright,6.5,195.58
115,Courtney Lee,6.5,195.58
116,Antonius Cleveland,6.5,195.58
117,Michael Kidd-Gilchrist,6.6,198.12
118,Luka Doncic,6.7,200.66
119,Justin Jackson,6.7,200.66
120,Dorian Finney-Smith,6.7,200.66
121,Willie Cauley-Stein,7.0,213.36
122,Kristaps Porzingis,7.3,220.98
123,Boban Marjanovic,7.4,223.52
124,Noah Vonleh,6.10,208.28
125,Michael Porter Jr.,6.10,208.28
126,Mason Plumlee,6.11,210.82
127,Monte Morris,6.2,187.96
128,Troy Daniels,6.4,193.04
129,Jamal Murray,6.4,193.04
130,Gary Harris,6.4,193.04
131,Will Barton,6.5,195.58
132,PJ Dozier,6.6,198.12
133,Torrey Craig,6.7,200.66
134,Paul Millsap,6.7,200.66
135,Vlatko Cancar,6.8,203.2
136,Tyler Cook,6.8,203.2
137,Keita Bates-Diop,6.8,203.2
138,Jerami Grant,6.8,203.2
139,Nikola Jokic,7.0,213.36
140,Bol Bol,7.2,218.44
141,Tim Frazier,6.0,182.88
142,Derrick Walton Jr.,6.0,182.88
143,Langston Galloway,6.1,185.42
144,Christian Wood,6.10,208.28
145,Justin Patton,6.11,210.82
146,Derrick Rose,6.2,187.96
147,Brandon Knight,6.2,187.96
148,Khyri Thomas,6.3,190.5
149,Jordan Bone,6.3,190.5
150,Bruce Brown,6.4,193.04
151,Luke Kennard,6.5,195.58
152,Jordan McRae,6.5,195.58
153,Tony Snell,6.6,198.12
154,Svi Mykhailiuk,6.7,200.66
155,Louis King,6.7,200.66
156,Sekou Doumbouya,6.8,203.2
157,John Henson,6.9,205.74
158,Blake Griffin,6.9,205.74
159,Thon Maker,7.0,213.36
160,Ky Bowman,6.1,185.42
161,Alen Smailagic,6.10,208.28
162,Jeremy Pargo,6.2,187.96
163,Chasson Randle,6.2,187.96
164,Stephen Curry,6.3,190.5
165,Mychal Mulder,6.3,190.5
166,Jordan Poole,6.4,193.04
167,Zach Norvell Jr.,6.5,195.58
168,Damion Lee,6.5,195.58
169,Juan Toscano-Anderson,6.6,198.12
170,Eric Paschall,6.6,198.12
171,Draymond Green,6.6,198.12
172,Andrew Wiggins,6.7,200.66
173,Marquese Chriss,6.9,205.74
174,Kevon Looney,6.9,205.74
175,Dragan Bender,7.0,213.36
176,Chris Clemons,5.9,175.26
177,Russell Westbrook,6.3,190.5
178,Michael Frazier,6.3,190.5
179,Eric Gordon,6.3,190.5
180,Ben McLemore,6.3,190.5
181,Austin Rivers,6.3,190.5
182,P.J. Tucker,6.5,195.58
183,James Harden,6.5,195.58
184,David Nwaba,6.5,195.58
185,Thabo Sefolosha,6.6,198.12
186,DeMarre Carroll,6.6,198.12
187,Danuel House Jr.,6.6,198.12
188,Robert Covington,6.7,200.66
189,William Howard,6.8,203.2
190,Luc Mbah a Moute,6.8,203.2
191,Jeff Green,6.8,203.2
192,Ryan Anderson,6.9,205.74
193,Bruno Caboclo,6.9,205.74
194,Tyson Chandler,7.0,213.36
195,Isaiah Hartenstein,7.0,213.36
196,Aaron Holiday,6.0,182.88
197,T.J. McConnell,6.1,185.42
198,TJ Leaf,6.10,208.28
199,Myles Turner,6.11,210.82
200,Goga Bitadze,6.11,210.82
201,Domantas Sabonis,6.11,210.82
202,Naz Mitrou-Long,6.3,190.5
203,Victor Oladipo,6.4,193.04
204,Edmond Sumner,6.4,193.04
205,Malcolm Brogdon,6.5,195.58
206,Jeremy Lamb,6.5,195.58
207,Justin Holiday,6.6,198.12
208,Brian Bowen II,6.6,198.12
209,JaKarr Sampson,6.7,200.66
210,Doug McDermott,6.7,200.66
211,Alize Johnson,6.7,200.66
212,T.J. Warren,6.8,203.2
213,Patrick Beverley,6.1,185.42
214,Lou Williams,6.1,185.42
215,Joakim Noah,6.11,210.82
216,Reggie Jackson,6.3,190.5
217,Rodney McGruder,6.4,193.04
218,Landry Shamet,6.4,193.04
219,Terance Mann,6.5,195.58
220,Montrezl Harrell,6.7,200.66
221,Kawhi Leonard,6.7,200.66
222,Amir Coffey,6.7,200.66
223,Paul George,6.8,203.2
224,Patrick Patterson,6.8,203.2
225,Marcus Morris Sr.,6.8,203.2
226,Johnathan Motley,6.8,203.2
227,JaMychal Green,6.8,203.2
228,Mfiondu Kabengele,6.9,205.74
