,Player,Tm,Pos,G_x,MP_x,PER,TS%,3PAr,TRB%,USG%,TOV%,ORB%,G_y,MP_y,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
927,Jarred Vanderbilt,TOT,SF-PF,9,41,7.2,0.7140000000000001,0.0,10.9,14.8,50.0,8.2,9,41,7,0,0,5,7,0,0,3,5,8,2,3,1,7,6,10
928,Jarred Vanderbilt,TOT,SF-PF,9,41,7.2,0.7140000000000001,0.0,10.9,14.8,50.0,8.2,2,5,1,0,1,0,0,2,2,0,1,1,0,0,0,0,0,2
929,Jarred Vanderbilt,TOT,SF-PF,2,5,11.1,0.532,1.0,10.6,15.5,0.0,0.0,11,46,8,0,1,5,7,2,2,3,6,9,2,3,1,7,6,12
930,Jarred Vanderbilt,TOT,SF-PF,2,5,11.1,0.532,1.0,10.6,15.5,0.0,0.0,9,41,7,0,0,5,7,0,0,3,5,8,2,3,1,7,6,10
931,Jarred Vanderbilt,TOT,SF-PF,2,5,11.1,0.532,1.0,10.6,15.5,0.0,0.0,2,5,1,0,1,0,0,2,2,0,1,1,0,0,0,0,0,2
932,Fred VanVleet,TOR,PG,54,1928,16.3,0.5529999999999999,0.484,5.6,21.7,12.3,1.0,54,1928,773,146,374,173,399,168,198,18,185,203,357,100,17,121,132,952
933,Gabe Vincent,MIA,PG,9,83,1.2,0.297,0.73,3.4,20.2,2.6,0.0,9,83,37,6,27,2,10,0,0,0,5,5,6,5,0,1,6,22
934,Noah Vonleh,TOT,C-PF,36,377,15.5,0.622,0.163,17.4,13.9,16.5,10.1,36,377,92,3,15,49,77,25,32,37,87,124,28,11,6,21,40,132
935,Noah Vonleh,TOT,C-PF,36,377,15.5,0.622,0.163,17.4,13.9,16.5,10.1,29,347,86,2,14,45,72,23,28,34,82,116,26,11,6,19,36,119
936,Noah Vonleh,TOT,C-PF,36,377,15.5,0.622,0.163,17.4,13.9,16.5,10.1,7,30,6,1,1,4,5,2,4,3,5,8,2,0,0,2,4,13
937,Noah Vonleh,TOT,C-PF,29,347,15.3,0.605,0.163,17.6,13.9,16.2,10.0,36,377,92,3,15,49,77,25,32,37,87,124,28,11,6,21,40,132
938,Noah Vonleh,TOT,C-PF,29,347,15.3,0.605,0.163,17.6,13.9,16.2,10.0,29,347,86,2,14,45,72,23,28,34,82,116,26,11,6,19,36,119
939,Noah Vonleh,TOT,C-PF,29,347,15.3,0.605,0.163,17.6,13.9,16.2,10.0,7,30,6,1,1,4,5,2,4,3,5,8,2,0,0,2,4,13
940,Noah Vonleh,TOT,C-PF,7,30,17.6,0.838,0.16699999999999998,14.9,14.1,20.5,11.2,36,377,92,3,15,49,77,25,32,37,87,124,28,11,6,21,40,132
941,Noah Vonleh,TOT,C-PF,7,30,17.6,0.838,0.16699999999999998,14.9,14.1,20.5,11.2,29,347,86,2,14,45,72,23,28,34,82,116,26,11,6,19,36,119
