,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
216,Alfonzo McKinnie,CLE,SF,0.08080808080808081,0.158458244111349,0.19393669193045027,0.3846153846153848,0.5512820512820512,0.37202925045703844,0.18664122137404582,0.20700152207001526,0.13610586011342155,0.5263157894736841,0.29,0.28,0.36,0.27,0.25,0.09,0.13,0.45,0.39,0.41,0.04,0.24,0.14,0.21,0.65,0.23
217,Ben McLemore,HOU,SG,0.5824915824915825,0.40328336902212697,0.1836825679893001,0.4230769230769233,0.6923076923076923,0.11243144424131629,0.3240458015267175,0.19101978691019791,0.1550094517958412,0.31578947368421056,0.41,0.5,0.58,0.2,0.24,0.15,0.16,0.1,0.16,0.12,0.09,0.38,0.11,0.3,0.47,0.34
218,Jordan McRae,DET,SG,0.0707070707070707,0.18344039971448958,0.3120820329915292,0.26923076923076933,0.41025641025641024,0.15219378427787938,0.4778625954198473,0.17123287671232879,0.054820415879017016,0.4210526315789476,0.62,0.36,0.43,0.45,0.56,0.35,0.38,0.12,0.26,0.18,0.31,0.33,0.14,0.3,0.33,0.48
219,De'Anthony Melton,MEM,PG,0.026936026936026935,0.3890078515346181,0.26437806509139544,0.1538461538461538,0.4615384615384615,0.24131627056672766,0.2912213740458015,0.13622526636225268,0.2627599243856333,0.26315789473684237,0.34,0.22,0.34,0.25,0.33,0.17,0.2,0.18,0.32,0.26,0.49,1.0,0.19,0.49,0.45,0.23
220,Khris Middleton,MIL,SF,0.7643097643097643,0.8811563169164883,0.5171645118145342,0.4999999999999999,0.4487179487179487,0.2253199268738575,0.566030534351145,0.44063926940639275,0.500945179584121,0.5263157894736841,0.65,0.44,0.49,0.51,0.56,0.38,0.35,0.08,0.34,0.24,0.38,0.52,0.06,0.47,0.27,0.57
221,CJ Miles,WAS,SG,0.5757575757575758,0.422555317630264,0.29514043691484626,0.3846153846153848,0.8461538461538461,0.136654478976234,0.41335877862595416,0.2625570776255708,0.27221172022684315,0.4736842105263159,0.56,0.7,0.84,0.15,0.19,0.2,0.19,0.06,0.21,0.14,0.07,0.38,0.14,0.16,0.37,0.45
222,Patty Mills,SAS,PG,0.9730639730639731,0.5049964311206281,0.3544360231832368,0.4615384615384614,0.7564102564102564,0.052102376599634376,0.36145038167938925,0.33637747336377477,0.3534971644612477,0.21052631578947353,0.46,0.6,0.66,0.18,0.21,0.15,0.13,0.06,0.1,0.06,0.38,0.38,0.06,0.28,0.2,0.38
223,Paul Millsap,DEN,PF,0.696969696969697,0.7615988579586008,0.5599643334819437,0.4230769230769233,0.3205128205128205,0.4638939670932359,0.4812977099236641,0.3805175038051751,0.6691871455576559,0.5263157894736841,0.52,0.24,0.3,0.52,0.57,0.42,0.47,0.43,0.49,0.48,0.26,0.62,0.36,0.42,0.39,0.48
224,Donovan Mitchell,UTA,SG,0.41414141414141414,0.8968593861527481,0.516718680338832,0.3461538461538463,0.47435897435897434,0.14396709323583182,0.7946564885496183,0.3059360730593607,0.6389413988657845,0.21052631578947353,0.91,0.52,0.63,0.64,0.72,0.41,0.42,0.1,0.19,0.16,0.37,0.52,0.08,0.56,0.27,0.73
225,Malik Monk,CHO,SG,0.2996632996632997,0.3044254104211277,0.2501114578689255,0.2307692307692308,0.6666666666666666,0.10100548446069472,0.5553435114503817,0.13774733637747338,0.1342155009451796,0.31578947368421056,0.68,0.54,0.75,0.34,0.4,0.23,0.21,0.08,0.17,0.13,0.3,0.24,0.11,0.42,0.25,0.48
