;epsilon;min_size;score;nb_clusters;var_portion
777;0.5100000000000001;2.0;0.07966568414598298;4.0;0.8500000000000002
775;0.49000000000000005;2.0;0.07931460128617356;4.0;0.8500000000000002
766;0.4100000000000001;3.0;0.07865695417433186;3.0;0.8500000000000002
779;0.5300000000000001;2.0;0.07833890434537177;4.0;0.8500000000000002
778;0.5200000000000001;2.0;0.07833890434537177;4.0;0.8500000000000002
774;0.4800000000000001;2.0;0.07820073632514657;4.0;0.8500000000000002
780;0.5400000000000001;2.0;0.07815996505785333;4.0;0.8500000000000002
744;0.35000000000000003;3.0;0.07805642320323895;4.0;0.8500000000000002
901;0.5400000000000001;2.0;0.07671710922269798;4.0;0.9000000000000002
866;0.4000000000000001;4.0;0.0759849820992868;3.0;0.9000000000000002
329;0.22000000000000003;5.0;0.0755253568462802;3.0;0.7000000000000001
197;0.22000000000000003;5.0;0.0755253568462802;3.0;0.65
899;0.5200000000000001;2.0;0.07515106425981835;4.0;0.9000000000000002
900;0.5300000000000001;2.0;0.07515106425981835;4.0;0.9000000000000002
771;0.45000000000000007;2.0;0.07491639860139279;4.0;0.8500000000000002
898;0.5100000000000001;2.0;0.0745308375367163;4.0;0.9000000000000002
756;0.38000000000000006;2.0;0.06461775618472608;7.0;0.8500000000000002
659;0.43000000000000005;2.0;0.06294929049971108;4.0;0.8000000000000002
520;0.43000000000000005;2.0;0.06294929049971108;4.0;0.7500000000000001
244;0.33;3.0;0.062494879487006764;3.0;0.65
376;0.33;3.0;0.062494879487006764;3.0;0.7000000000000001
518;0.4100000000000001;2.0;0.061467206083190194;4.0;0.7500000000000001
519;0.42000000000000004;2.0;0.061467206083190194;4.0;0.7500000000000001
658;0.42000000000000004;2.0;0.061467206083190194;4.0;0.8000000000000002
657;0.4100000000000001;2.0;0.061467206083190194;4.0;0.8000000000000002
247;0.34;3.0;0.060929019758376356;3.0;0.65
379;0.34;3.0;0.060929019758376356;3.0;0.7000000000000001
241;0.32000000000000006;3.0;0.06039312210079206;3.0;0.65
373;0.32000000000000006;3.0;0.06039312210079206;3.0;0.7000000000000001
644;0.34;8.0;0.05920000026766502;3.0;0.8000000000000002
505;0.34;8.0;0.05920000026766502;3.0;0.7500000000000001
747;0.36000000000000004;2.0;0.0550425728330062;8.0;0.8500000000000002
522;0.45000000000000007;2.0;0.053461112261166545;3.0;0.7500000000000001
661;0.45000000000000007;2.0;0.053461112261166545;3.0;0.8000000000000002
660;0.44000000000000006;2.0;0.0529097473775242;3.0;0.8000000000000002
521;0.44000000000000006;2.0;0.0529097473775242;3.0;0.7500000000000001
743;0.35000000000000003;2.0;0.05047162976764996;8.0;0.8500000000000002
890;0.44000000000000006;9.0;0.04757893781267233;3.0;0.9000000000000002
872;0.4100000000000001;5.0;0.045688844382824785;3.0;0.9000000000000002
903;0.5600000000000002;2.0;0.04376797371538369;5.0;0.9000000000000002
640;0.33;6.0;0.04307697907947699;3.0;0.8000000000000002
501;0.33;6.0;0.04307697907947699;3.0;0.7500000000000001
904;0.5700000000000002;2.0;0.042697365756828795;5.0;0.9000000000000002
905;0.5800000000000002;2.0;0.04251750640515562;5.0;0.9000000000000002
906;0.5900000000000002;2.0;0.04174620372401223;5.0;0.9000000000000002
68;0.14;9.0;0.03748094869178876;3.0;0.6
883;0.43000000000000005;8.0;0.03635693991979383;3.0;0.9000000000000002
330;0.22000000000000003;6.0;0.0289804920421599;3.0;0.7000000000000001
198;0.22000000000000003;6.0;0.0289804920421599;3.0;0.65
884;0.43000000000000005;9.0;0.028145158619285276;3.0;0.9000000000000002
497;0.33;2.0;0.027789136961608108;11.0;0.7500000000000001
636;0.33;2.0;0.027789136961608108;11.0;0.8000000000000002
64;0.14;5.0;0.026174544107660302;4.0;0.6
621;0.30000000000000004;6.0;0.02347335844156604;3.0;0.8000000000000002
482;0.30000000000000004;6.0;0.02347335844156604;3.0;0.7500000000000001
345;0.24000000000000005;8.0;0.023273439513758282;3.0;0.7000000000000001
213;0.24000000000000005;8.0;0.023273439513758282;3.0;0.65
378;0.34;2.0;0.023036499500117175;6.0;0.7000000000000001
246;0.34;2.0;0.023036499500117175;6.0;0.65
77;0.16000000000000003;4.0;0.021770843678157265;5.0;0.6
206;0.23000000000000004;7.0;0.019939856520773656;4.0;0.65
338;0.23000000000000004;7.0;0.019939856520773656;4.0;0.7000000000000001
879;0.42000000000000004;8.0;0.017914853565817283;3.0;0.9000000000000002
605;0.28;4.0;0.01751390630875361;5.0;0.8000000000000002
466;0.28;4.0;0.01751390630875361;5.0;0.7500000000000001
496;0.32000000000000006;6.0;0.017465558680478784;3.0;0.7500000000000001
635;0.32000000000000006;6.0;0.017465558680478784;3.0;0.8000000000000002
74;0.15000000000000002;7.0;0.016404331360948664;4.0;0.6
628;0.31000000000000005;5.0;0.015320093207334205;4.0;0.8000000000000002
489;0.31000000000000005;5.0;0.015320093207334205;4.0;0.7500000000000001
612;0.29000000000000004;5.0;0.015049435439057205;5.0;0.8000000000000002
473;0.29000000000000004;5.0;0.015049435439057205;5.0;0.7500000000000001
205;0.23000000000000004;6.0;0.013635408704106363;5.0;0.65
