Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jahlil Okafor,0.43,0.0,0.01,0.52,0.42,0.16,0.23,0.08,0.25,0.24,0.14,0.04,0.33,0.29,0.24,0.49
Jake Layman,0.33,0.13,0.15,0.23,0.18,0.07,0.12,0.04,0.15,0.14,0.1,0.09,0.17,0.14,0.2,0.35
Jakob Poeltl,0.23,0.0,0.0,0.32,0.23,0.07,0.14,0.12,0.25,0.29,0.17,0.08,0.46,0.19,0.29,0.3
Jalen Brunson,0.36,0.11,0.11,0.29,0.25,0.11,0.15,0.02,0.15,0.11,0.45,0.08,0.04,0.23,0.17,0.4
Jalen Jones,0.32,0.14,0.14,0.18,0.19,0.16,0.23,0.06,0.18,0.18,0.07,0.1,0.06,0.17,0.28,0.35
Jalen Lecque,0.31,0.0,0.12,0.28,0.19,0.12,0.12,0.0,0.09,0.06,0.17,0.0,0.0,0.24,0.21,0.28
Jalen McDaniels,0.24,0.1,0.08,0.19,0.16,0.1,0.12,0.05,0.25,0.22,0.13,0.08,0.08,0.16,0.27,0.28
Jamal Crawford,0.42,0.16,0.17,0.26,0.25,0.17,0.19,0.01,0.08,0.06,0.33,0.08,0.06,0.24,0.12,0.44
Jamal Murray,0.44,0.17,0.18,0.3,0.27,0.16,0.18,0.03,0.15,0.12,0.37,0.09,0.08,0.26,0.14,0.48
Jameel Warney,0.44,0.0,0.0,0.57,0.44,0.22,0.38,0.14,0.28,0.33,0.0,0.0,0.0,0.13,0.18,0.58
Jameer Nelson,0.28,0.13,0.13,0.15,0.15,0.05,0.06,0.02,0.12,0.1,0.52,0.08,0.02,0.26,0.21,0.27
Jamel Artis,0.29,0.08,0.1,0.18,0.18,0.06,0.08,0.02,0.19,0.13,0.18,0.02,0.08,0.11,0.09,0.25
James Anderson,0.25,0.1,0.12,0.14,0.13,0.06,0.08,0.02,0.15,0.12,0.16,0.08,0.17,0.22,0.18,0.22
James Ennis,0.25,0.11,0.12,0.18,0.13,0.12,0.14,0.05,0.17,0.16,0.13,0.08,0.1,0.16,0.24,0.3
James Harden,0.57,0.29,0.29,0.34,0.29,0.51,0.59,0.02,0.23,0.18,0.66,0.15,0.15,0.53,0.17,0.79
James Johnson,0.33,0.1,0.11,0.28,0.22,0.11,0.17,0.03,0.21,0.17,0.35,0.11,0.27,0.3,0.22,0.37
James Jones,0.27,0.26,0.21,0.08,0.08,0.09,0.11,0.01,0.14,0.1,0.1,0.07,0.17,0.09,0.23,0.33
James Michael McAdoo,0.29,0.04,0.02,0.32,0.26,0.13,0.26,0.09,0.18,0.21,0.15,0.12,0.4,0.21,0.26,0.33
