,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
83,Brandon Clarke,MEM,PF,0.06060606060606061,0.5167739749237547,0.6935086277732128,0.8437500000000002,0.14772727272727273,0.481599273057701,0.3450381679389313,0.4185692541856926,0.32136105860113423,0.5789473684210523,0.52,0.12,0.14,0.68,0.6,0.26,0.29,0.41,0.54,0.51,0.18,0.32,0.33,0.21,0.24,0.54
84,Jordan Clarkson,UTA,SG,0.9862258953168044,0.682480515079634,0.4741166803615448,0.46875000000000017,0.40909090909090906,0.129486597001363,0.5965648854961831,0.2549467275494673,0.1058601134215501,0.3684210526315788,0.75,0.42,0.47,0.48,0.58,0.27,0.28,0.17,0.15,0.14,0.28,0.41,0.03,0.4,0.16,0.57
85,John Collins,ATL,PF,0.3856749311294766,0.7156895967468655,0.686113393590797,0.7500000000000001,0.18181818181818182,0.6110858700590641,0.433969465648855,0.46803652968036535,0.29678638941398866,0.6315789473684211,0.58,0.18,0.19,0.65,0.62,0.36,0.41,0.58,0.58,0.63,0.16,0.23,0.36,0.4,0.39,0.59
86,Zach Collins,POR,PF,0.325068870523416,0.34937309386648585,0.2732128184059162,0.40625000000000006,0.3863636363636364,0.39800090867787363,0.23396946564885493,0.19101978691019791,0.26654064272211725,0.7368421052631576,0.33,0.2,0.25,0.27,0.33,0.18,0.22,0.39,0.42,0.42,0.15,0.14,0.36,0.37,0.47,0.24
87,Mike Conley,UTA,PG,0.6005509641873278,0.8420874279905116,0.6487263763352505,0.5312500000000002,0.4431818181818182,0.10449795547478419,0.5893129770992367,0.525875190258752,0.3534971644612477,0.21052631578947353,0.66,0.48,0.47,0.38,0.49,0.49,0.51,0.09,0.15,0.11,0.61,0.5,0.08,0.37,0.16,0.59
88,Pat Connaughton,MIL,SG,0.6804407713498623,0.29041003049813624,0.2674609695973706,0.46875000000000017,0.5909090909090909,0.26942298955020444,0.1541984732824427,0.24048706240487067,0.27788279773156904,0.4210526315789476,0.29,0.36,0.38,0.19,0.2,0.1,0.1,0.22,0.34,0.3,0.26,0.18,0.18,0.14,0.22,0.21
89,Quinn Cook,LAL,PG,0.35537190082644626,0.269739071501186,0.3340180772391126,0.5312500000000002,0.48863636363636365,0.1372103589277601,0.38778625954198476,0.20700152207001526,0.12854442344045366,0.21052631578947353,0.56,0.48,0.46,0.34,0.41,0.08,0.09,0.11,0.2,0.16,0.37,0.18,0.0,0.33,0.27,0.42
90,Robert Covington,HOU,PF-C,0.7796143250688705,0.8085394781430023,0.37633525061626955,0.5000000000000002,0.7272727272727273,0.3280327124034529,0.3305343511450382,0.2001522070015221,0.5274102079395085,0.5263157894736841,0.45,0.56,0.6,0.16,0.2,0.23,0.25,0.16,0.43,0.35,0.13,0.77,0.31,0.35,0.37,0.36
91,Allen Crabbe,MIN,SG,0.768595041322314,0.6546933242968485,0.2744453574363188,0.5312500000000002,0.625,0.13539300318037253,0.249618320610687,0.3089802130898022,0.21550094517958415,0.4210526315789476,0.42,0.48,0.5,0.18,0.24,0.18,0.18,0.06,0.22,0.15,0.12,0.23,0.1,0.14,0.28,0.33
92,Torrey Craig,DEN,SF,0.3746556473829201,0.388681802778719,0.2621199671322926,0.5000000000000002,0.5681818181818182,0.3030440708768741,0.10267175572519083,0.24277016742770172,0.23440453686200377,0.5263157894736841,0.25,0.28,0.33,0.19,0.19,0.11,0.14,0.33,0.27,0.32,0.11,0.23,0.31,0.12,0.44,0.19
93,Jamal Crawford,BRK,SG,0.743801652892562,0.5496441884107082,0.3599013968775678,0.40625000000000006,0.4545454545454546,0.007723761926397088,0.5148854961832061,0.22526636225266364,0.17769376181474478,0.4210526315789476,0.62,0.4,0.46,0.35,0.46,0.34,0.33,0.05,0.05,0.02,0.38,0.27,0.08,0.4,0.15,0.46
94,Jae Crowder,MIA,SF,0.9201101928374655,0.7441545238902068,0.3730484798685292,0.5312500000000002,0.6477272727272727,0.2644252612448887,0.30038167938931304,0.31963470319634707,0.43856332703213613,0.4736842105263159,0.44,0.48,0.51,0.21,0.24,0.27,0.29,0.16,0.36,0.28,0.18,0.5,0.13,0.21,0.25,0.36
95,Jarrett Culver,MIN,SG,0.0743801652892562,0.5672653337851575,0.22925225965488907,0.24999999999999992,0.4431818181818182,0.1817355747387551,0.3641221374045801,0.06849315068493152,0.22684310018903595,0.4736842105263159,0.53,0.3,0.4,0.32,0.42,0.15,0.27,0.27,0.19,0.21,0.22,0.5,0.23,0.35,0.28,0.33
96,Seth Curry,DAL,SG,0.5950413223140496,0.5232124703490343,0.41002465078060807,0.6875,0.5795454545454546,0.06406179009541116,0.3183206106870229,0.3378995433789954,0.20226843100189038,0.26315789473684237,0.47,0.58,0.49,0.24,0.29,0.18,0.18,0.08,0.12,0.08,0.25,0.36,0.05,0.26,0.2,0.42
97,Stephen Curry,GSW,PG,0.6804407713498623,0.8874957641477466,0.947000821692687,0.8125000000000001,0.6477272727272727,0.22217174011812804,0.818320610687023,0.8706240487062405,0.6219281663516069,0.31578947368421056,0.92,1.0,0.88,0.42,0.44,0.52,0.5,0.14,0.3,0.24,0.63,0.68,0.05,0.63,0.2,0.93
98,Troy Daniels,DEN,SG,0.6914600550964187,0.29718739410369366,0.266228430566968,0.5312500000000002,0.8295454545454545,0.07587460245343026,0.34312977099236636,0.2092846270928463,0.07939508506616258,0.3684210526315788,0.53,0.76,0.76,0.1,0.15,0.12,0.13,0.08,0.12,0.08,0.1,0.18,0.05,0.21,0.27,0.4
99,Anthony Davis,LAL,PF,0.8071625344352618,0.9501863774991529,0.9774034511092851,0.625,0.13636363636363635,0.6024534302589731,0.7877862595419848,0.6560121765601218,0.8052930056710774,0.6842105263157894,0.87,0.16,0.18,0.82,0.92,0.73,0.77,0.39,0.7,0.62,0.23,0.5,0.62,0.4,0.2,0.85
100,Ed Davis,UTA,C,0.7658402203856749,0.3717383937648254,0.4786359901396878,0.65625,0.0,0.7987278509768287,0.09503816793893131,0.37062404870624055,0.3988657844990548,0.6315789473684211,0.16,0.0,0.0,0.35,0.36,0.24,0.34,0.75,0.76,0.83,0.1,0.32,0.31,0.26,0.56,0.2
101,Terence Davis,TOR,SG,0.09917355371900827,0.3263300576075906,0.40180772391125724,0.625,0.6363636363636365,0.31349386642435256,0.3564885496183206,0.2511415525114155,0.3780718336483932,0.3684210526315788,0.51,0.56,0.56,0.26,0.28,0.16,0.16,0.23,0.4,0.35,0.3,0.36,0.1,0.44,0.35,0.41
